,specificity,sensitivity,gmean,auprc,auc,accuracy,precision,F_measure,threshold,lossValid,subsample,num_feat,n_estimators,min_child_weight,max_depth,learning_rate,gamma,eta,colsample_bytree
6,0.8238280173228812,0.7716202270381837,0.7972969094177516,0.8312556261876848,0.8460853847196758,0.7976466781708369,0.8154212012180608,1.5870414282562444,0.47688060998916626,0.5626134407915645,0.5,18.0,32.0,15.0,15.0,0.03,10.0,0.1,0.7
8,0.8040477199361213,0.7885964912280701,0.7962846292134209,0.8286814178151314,0.8533827757436498,0.7963244176013805,0.8022543919951663,1.5908508832232364,0.4899279475212097,0.5425688782252686,0.6,31.0,35.0,5.0,9.0,0.03,5.0,0.03,0.7
10,0.8067656399146159,0.7821551427588579,0.7943650887723842,0.8320550881004511,0.85007556132911,0.7943550474547022,0.8045580700861482,1.586713212845006,0.4873584806919098,0.5485049171225073,0.5,20.0,34.0,10.0,10.0,0.03,5.0,0.05,0.7
7,0.8053459678282838,0.7834107327141383,0.7943026342300098,0.8235423167383406,0.8429506736392955,0.7943572044866263,0.801929307589685,1.5853400403038234,0.4661301076412201,0.5072200903025512,0.8,22.0,30.0,25.0,9.0,0.07,10.0,0.05,0.8
2,0.801424854826327,0.7860079119367045,0.7936789506571393,0.8380163663796681,0.8532576621445237,0.7936971527178602,0.8002439408590034,1.586251852795708,0.4831541180610657,0.5249971430872127,0.8,38.0,30.0,5.0,15.0,0.05,10.0,0.03,0.7
1,0.8146604906630946,0.7729360165118679,0.7935240604182939,0.8228408994285772,0.8420998151359509,0.7937014667817084,0.8092637754402461,1.582199791952114,0.440681129693985,0.5115957927152618,0.6,7.0,34.0,25.0,7.0,0.07,10.0,0.1,0.8
9,0.8093284194123799,0.7768489852081184,0.7929224182229923,0.8291935643166685,0.8485658325782539,0.7930371009490941,0.8058295219231102,1.5826785071312286,0.48082512617111206,0.49371367271825656,0.6,32.0,32.0,5.0,7.0,0.1,10.0,0.08,0.8
4,0.8185818314777984,0.7676642586859306,0.792714333688483,0.8331054754350244,0.851055650172784,0.79303494391717,0.8117847940818346,1.5794490527677651,0.5227423906326294,0.483323157220706,0.8,20.0,35.0,15.0,5.0,0.08,1.0,0.03,0.8
13,0.789642721268826,0.7952442380460957,0.7924385302369346,0.8307617650265428,0.850784676652179,0.7923792062122519,0.7947663919469383,1.590010629993034,0.4425264298915863,0.4912449654313873,0.5,15.0,35.0,10.0,9.0,0.07,5.0,0.05,0.8
0,0.8106696669605451,0.774234606123151,0.7922427092092319,0.8317723589626184,0.8504023896268222,0.7923770491803278,0.8063579529646662,1.5805925590878172,0.4957200884819031,0.49294312179670374,0.8,36.0,31.0,15.0,8.0,0.08,5.0,0.05,0.7
3,0.7672303893092034,0.8162538699690403,0.7913626061619861,0.8297839162359919,0.8504238081466557,0.7917126833477136,0.781137769429044,1.5973916393980843,0.4668443202972412,0.49728867213559164,0.8,10.0,30.0,5.0,15.0,0.07,1.0,0.03,0.8
11,0.8250918654902417,0.7426986584107327,0.7828119963089549,0.8203941937509512,0.8368523231144929,0.7838395168248491,0.8115559345791594,1.554254592989892,0.4837099015712738,0.50084225643791,0.6,5.0,31.0,25.0,10.0,0.1,1.0,0.05,0.8
5,0.8224519144244198,0.7192122463020295,0.7691017415456758,0.8129502761271382,0.8157257421314975,0.7706859361518551,0.8050909824431244,1.524303228745154,0.4314191937446594,0.5244335939284218,0.8,37.0,38.0,50.0,8.0,0.1,10.0,0.08,0.7
12,0.6185707256063806,0.5721276229790162,0.5948961244499613,0.5894514525042058,0.6023581781718698,0.5952631578947368,0.6011675288236625,1.1732951518026788,0.5118459463119507,0.6789587720783107,0.6,26.0,33.0,100.0,5.0,0.1,1.0,0.05,0.8
